iter	Passed	Remaining
0	60	60498
1	61	30603
2	62	20625
3	62	15644
4	63	12626
5	64	10611
6	64	9168
7	65	8087
8	65	7251
9	66	6582
10	67	6045
11	67	5587
12	68	5202
13	69	4868
14	69	4578
15	70	4326
16	70	4102
17	71	3903
18	72	3729
19	72	3576
20	73	3436
21	74	3311
22	75	3194
23	75	3086
24	76	2987
25	77	2896
26	78	2812
27	78	2733
28	79	2659
29	80	2597
30	81	2534
31	81	2475
32	82	2420
33	83	2366
34	84	2321
35	85	2277
36	85	2234
37	86	2198
38	87	2159
39	88	2123
40	89	2086
41	89	2050
42	90	2017
43	91	1985
44	92	1954
45	92	1922
46	93	1892
47	93	1863
48	94	1835
49	95	1810
50	95	1785
51	96	1760
52	97	1735
53	97	1714
54	98	1692
55	99	1672
56	99	1653
57	100	1632
58	101	1614
59	101	1594
60	102	1576
61	103	1558
62	103	1541
63	104	1524
64	104	1508
65	105	1492
66	106	1478
67	106	1460
68	107	1446
69	107	1432
70	108	1418
71	109	1406
72	109	1393
73	110	1381
74	110	1368
75	111	1356
76	112	1345
77	112	1334
78	113	1323
79	114	1313
80	114	1304
81	115	1293
82	116	1283
83	116	1273
84	117	1260
85	117	1250
86	118	1239
87	118	1232
88	119	1225
89	120	1218
90	121	1211
91	121	1203
92	122	1195
93	123	1188
94	123	1180
95	124	1172
96	125	1164
97	125	1157
98	126	1151
99	127	1145
100	127	1138
101	128	1129
102	128	1122
103	129	1116
104	130	1109
105	130	1103
106	131	1097
107	132	1091
108	132	1086
109	133	1080
110	134	1074
111	134	1069
112	135	1064
113	136	1059
114	136	1054
115	137	1048
116	138	1043
117	138	1038
118	139	1031
119	139	1026
120	140	1021
121	141	1016
122	141	1009
123	142	1005
124	143	1001
125	143	996
126	144	992
127	144	986
128	145	981
129	146	977
130	146	973
131	147	969
132	148	964
133	148	960
134	149	956
135	149	952
136	150	947
137	150	943
138	151	938
139	152	934
140	152	931
141	153	927
142	154	922
143	154	919
144	155	915
145	156	912
146	156	908
147	157	905
148	158	902
149	158	900
150	159	897
151	160	893
152	160	890
153	161	887
154	162	884
155	162	880
156	163	877
157	164	875
158	164	871
159	165	868
160	166	865
161	166	863
162	167	860
163	168	857
164	168	854
165	169	852
166	170	849
167	170	846
168	171	844
169	172	841
170	173	839
171	173	836
172	174	833
173	175	831
174	175	828
175	176	825
176	177	823
177	177	820
178	178	818
179	179	816
180	179	812
181	180	810
182	181	808
183	181	806
184	182	804
185	183	804
186	184	804
187	185	801
188	186	799
189	187	797
190	187	794
191	188	793
192	189	791
193	190	789
194	190	788
195	191	786
196	193	788
197	194	786
198	194	784
199	195	783
200	196	780
201	197	778
202	197	776
203	198	774
204	199	773
205	200	771
206	200	769
207	201	767
208	202	765
209	202	763
210	203	761
211	204	760
212	205	759
213	207	761
214	207	759
215	208	757
216	209	755
217	210	753
218	210	751
219	211	749
220	211	746
221	212	744
222	213	742
223	213	740
224	214	738
225	215	736
226	215	734
227	216	732
228	217	730
229	217	729
230	218	727
231	219	726
232	220	724
233	221	724
234	222	725
235	223	723
236	224	721
237	224	719
238	225	717
239	225	715
240	226	713
241	227	711
242	227	709
243	228	707
244	229	706
245	229	704
246	230	702
247	230	700
248	231	698
249	232	696
250	232	694
251	233	693
252	234	691
253	234	690
254	236	690
255	237	688
256	237	687
257	238	685
258	239	683
259	239	682
260	240	680
261	240	678
262	241	676
263	242	674
264	242	672
265	243	671
266	243	669
267	244	667
268	245	665
269	245	664
270	246	662
271	246	660
272	247	659
273	248	657
274	248	656
275	250	656
276	251	655
277	251	654
278	252	653
279	253	651
280	254	649
281	254	648
282	255	647
283	256	645
284	256	644
285	257	643
286	258	641
287	259	640
288	259	639
289	260	637
290	261	637
291	262	636
292	263	635
293	264	634
294	266	636
295	267	635
296	267	634
297	268	632
298	269	631
299	269	629
300	270	628
301	271	627
302	271	625
303	272	624
304	273	623
305	274	622
306	275	621
307	275	619
308	276	618
309	277	617
310	278	616
311	279	615
312	280	615
313	281	615
314	282	614
315	283	613
316	283	611
317	284	610
318	285	609
319	285	607
320	286	606
321	287	604
322	287	603
323	288	602
324	289	600
325	289	599
326	290	598
327	291	596
328	292	595
329	292	594
330	293	593
331	294	592
332	294	590
333	295	589
334	296	588
335	297	587
336	298	586
337	299	586
338	300	585
339	301	585
340	302	584
341	303	583
342	304	582
343	304	581
344	305	580
345	306	579
346	307	578
347	307	576
348	309	576
349	310	576
350	310	574
351	311	573
352	312	572
353	313	571
354	313	569
355	314	568
356	314	567
357	315	566
358	316	564
359	316	563
360	317	562
361	318	561
362	319	559
363	319	558
364	320	557
365	321	556
366	322	555
367	322	554
368	324	555
369	325	554
370	326	553
371	327	552
372	327	551
373	328	549
374	329	548
375	329	547
376	330	546
377	331	545
378	332	544
379	332	543
380	333	541
381	334	540
382	334	539
383	335	538
384	336	537
385	337	536
386	338	536
387	340	536
388	341	535
389	341	534
390	342	533
391	343	532
392	343	531
393	344	530
394	345	529
395	346	527
396	346	526
397	347	525
398	348	524
399	349	523
400	350	523
401	351	522
402	351	521
403	352	520
404	354	520
405	355	519
406	355	518
407	356	517
408	357	516
409	357	515
410	358	513
411	359	512
412	360	511
413	360	510
414	361	509
415	362	508
416	362	507
417	363	506
418	364	505
419	365	504
420	366	503
421	367	502
422	368	502
423	369	502
424	370	501
425	371	500
426	372	499
427	372	498
428	373	497
429	374	496
430	374	495
431	375	493
432	376	492
433	376	491
434	377	490
435	378	489
436	378	487
437	379	486
438	380	486
439	381	485
440	381	484
441	382	483
442	383	482
443	385	483
444	386	482
445	387	481
446	388	480
447	389	479
448	389	478
449	390	477
450	391	476
451	391	474
452	392	473
453	392	472
454	393	471
455	394	470
456	395	469
457	395	468
458	396	467
459	397	467
460	398	466
461	399	465
462	400	464
463	401	463
464	401	462
465	402	461
466	403	460
467	403	459
468	404	458
469	405	457
470	405	455
471	406	454
472	407	453
473	407	452
474	408	451
475	409	450
476	410	449
477	411	448
478	411	447
479	412	447
480	414	446
481	414	445
482	415	445
483	416	444
484	417	443
485	417	442
486	418	440
487	419	439
488	419	438
489	420	437
490	421	436
491	421	435
492	422	434
493	423	433
494	423	432
495	424	431
496	425	430
497	426	429
498	426	428
499	427	427
500	429	427
501	429	426
502	430	425
503	431	424
504	432	423
505	432	422
506	433	421
507	434	420
508	434	419
509	435	418
510	436	417
511	436	416
512	437	415
513	437	414
514	438	413
515	439	411
516	439	411
517	440	410
518	441	409
519	442	408
520	442	407
521	443	406
522	444	405
523	445	404
524	445	403
525	446	402
526	448	402
527	448	401
528	449	400
529	450	399
530	450	398
531	451	397
532	452	396
533	452	395
534	453	394
535	454	393
536	455	392
537	455	391
538	456	390
539	457	389
540	457	388
541	458	387
542	459	386
543	460	385
544	460	384
545	461	383
546	462	382
547	462	381
548	463	380
549	464	379
550	464	378
551	465	377
552	466	376
553	467	376
554	467	375
555	468	374
556	469	373
557	469	372
558	470	371
559	471	370
560	472	369
561	472	368
562	473	367
563	474	366
564	474	365
565	475	364
566	476	363
567	477	362
568	477	361
569	478	361
570	479	360
571	480	359
572	480	358
573	481	357
574	482	356
575	483	355
576	484	354
577	484	353
578	485	353
579	486	352
580	487	351
581	487	350
